Date and Time:                Fri Apr 13 12:22:48.444 2018
Software Version:             4.30.30034.0
Temperature (C):              -30
Model:                        DH334T-18U-03
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         2
Accumulate Cycle Time (secs): 2
Frequency (Hz):               0.5
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         true
Vertical Shift Speed (usecs): 6.5
Pixel Readout Rate (MHz):     0.05
546.40936	7503.51
546.62921	7394.13
546.84906	7359.55
547.06885	7390.28
547.2887	7422.77
547.50854	7429.37
547.72839	7442.65
547.94818	7473.97
548.16803	7489.28
548.38788	7483.54
548.60773	7486.12
548.82751	7498.73
549.04736	7511.65
549.26721	7541.5
549.48706	7582.6
549.70685	7601.88
549.9267	7603.65
550.14655	7605.75
550.36639	7592.83
550.58624	7568.53
550.80603	7562.8
551.02588	7563.37
551.24573	7546.66
551.46558	7534.53
551.68536	7533.29
551.90521	7525.97
552.12506	7531.47
552.34491	7544.58
552.5647	7539.12
552.78455	7550.16
553.00439	7578.86
553.22424	7580.02
553.44403	7564.36
553.66388	7550.09
553.88373	7544.79
554.10358	7558.03
554.32336	7569.2
554.54321	7561.93
554.76306	7547.45
554.98291	7534.87
555.2027	7527.62
555.42255	7527.64
555.6424	7531.95
555.86224	7534.91
556.08203	7534.07
556.30188	7533.19
556.52173	7534.5
556.74158	7535.09
556.96143	7530.51
557.18121	7520.53
557.40106	7520.37
557.62091	7546.96
557.84076	7595.78
558.06055	7647.86
558.2804	7681.29
558.50024	7688.17
558.72009	7689.75
558.93988	7713.96
559.15973	7767.09
559.37958	7830.95
559.59943	7876.87
559.81921	7888.13
560.03906	7866.83
560.25891	7820.48
560.47876	7747.66
560.69855	7633.38
560.9184	7476.82
561.13824	7323.41
561.35809	7220.05
561.57788	7159.16
561.79773	7126.25
562.01758	7122.78
562.23743	7131.01
562.45728	7128.19
562.67706	7115.72
562.89691	7110.02
563.11676	7117.31
563.33661	7121.25
