Date and Time:                Fri Apr 13 12:59:06.838 2018
Software Version:             4.30.30034.0
Temperature (C):              -30
Model:                        DH334T-18U-03
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         2
Accumulate Cycle Time (secs): 2
Frequency (Hz):               0.5
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         true
Vertical Shift Speed (usecs): 6.5
Pixel Readout Rate (MHz):     0.05
463.83661	8163.37
463.84058	8172.22
463.84451	8181.29
463.84848	8190.44
463.85245	8202.74
463.85641	8219.93
463.86035	8236.98
463.86432	8254.17
463.86829	8268.34
463.87222	8281.54
463.87619	8294.84
463.88016	8306.03
463.88412	8307.61
463.88806	8308.99
463.89203	8310.37
463.896	8309
463.89996	8305.4
463.9039	8301.83
463.90787	8307.73
463.91183	8370.84
463.9158	8448.45
463.91974	8525.46
463.92371	8608.88
463.92767	8702.69
463.93164	8796.93
463.93558	8886.36
463.93954	8915.84
463.94351	8912.79
463.94748	8909.74
463.95142	8913.78
463.95538	8941.52
463.95935	8973.12
463.96329	9004.47
463.96725	9013.18
463.97122	8997.67
463.97519	8981.87
463.97913	8966.49
463.98309	8955.88
463.98706	8946.46
463.99103	8937.03
463.99496	8920.32
463.99893	8882.33
464.0029	8844.08
464.00687	8805.83
464.0108	8782.56
464.01477	8767.59
464.01874	8752.62
464.02271	8737.64
464.02664	8722.21
464.03061	8706.65
464.03458	8691.09
464.03854	8679.93
464.04248	8674.98
464.04645	8669.99
464.05042	8664.48
464.05438	8638.72
464.05832	8607.37
464.06229	8575.77
464.06625	8552.3
464.07019	8558.48
464.07416	8565.69
464.07813	8572.76
464.08209	8573.48
464.08603	8569.07
464.09	8564.64
464.09396	8559.73
464.09793	8552.33
464.10187	8544.36
464.10583	8536.32
464.1098	8523.9
464.11377	8504.29
464.11771	8484.48
464.12167	8464.49
464.12564	8443.97
464.12961	8423.18
464.13354	8402.55
464.13751	8391.73
464.14148	8414.09
464.14545	8441.25
464.14938	8468.21
464.15335	8473.93
464.15732	8457.54
464.16125	8441.28
464.16522	8427.03
464.16919	8463.7
464.17316	8509.72
464.17709	8555.38
464.18106	8595.87
464.18503	8621.37
464.189	8646.87
464.19293	8672.17
464.1969	8693.69
464.20087	8713.09
